Team,Week,Game,Referee,Leaderboard Points,Win_Loss,Possession_pct,Territory_pct,Attacking_Minutes,Ball_In_Play_Time,Gainline_Over_pct,Gainline_On_pct,Gainline_Lost_pct,Hitup_Efficiency_pct,Tries_Scored,Points_Scored,Ball_Carries,Ball_Carry_Meters,Line_Breaks,Line_Breaks_1st_Phase,Tackle_Breaks,Offloads,Opp_Gainline_Over_pct,Opp_Gainline_On_pct,Opp_Gainline_Lost_pct,Made_Tackle_pct,Tackles_Made,Tackles_Missed,Tackles_Attempted,Assist_Tackles,Dominant_Tackles,Line_Breaks_Conceded,Tackle_Breaks_Conceded,Offloads_Conceded,Carry_Meters_Conceded,Breakdown_Retention_pct,Breakdown_Steals,Ruck_Speed_0-3pct,Ruck_Speed_3-6pct,Ruck_Speed_6+pct,Kicks_In_Play,Carrying_22m_Exit_pct,Kicking_22m_Exit_pct,22m_Exit_Failed_pct,Kicking_Meters,Goal_Kicking_pct,Own_Scrum_Won_pct,Own_Scrum_Completion_pct,Total_Scrums,Own_Lineout_Won_pct,Lineout_Steals,Opp_Lineout_Clean_pct,Total_LO,Full_LO,Full_LO_Won,Full_LO_Lost,Full_LO_clean_pct,Full_LO_scrappy_pct,Full_LO_Lost_pct,6_Man_LO,6_Man_LO_Won,6_Man_LO_Lost,6_Man_LO_Clean_pct,6_Man_LO_Scrappy_pct,6_Man_LO_Lost_pct,5_Man_LO,5_Man_LO_Won,5_Man_LO_Lost,5_Man_LO_Clean_pct,5_Man_LO_Scrappy_pct,5_Man_LO_Lost_pct,4_Man_LO,4_Man_LO_Won,4_Man_LO_Lost,4_Man_LO_Clean_pct,4_Man_LO_Scrappy_pct,4_Man_LO_Lost_pct,3_Man_LO,3_Man_LO_Won,3_Man_LO_Lost,3_Man_LO_Clean_pct,3_Man_LO_Scrappy_pct,3_Man_LO_Lost_pct,2_Man_LO,2_an_LO_Won,2_Man_LO_Lost,2_Man_LO_Clean_pct,2_Man_LO_Scrappy_pct,2_Man_LO_Lost_pct,Quick_LO,Quick_LO_Won,Quick_LO_Lost,Quick_LO_Clean_pct,Quick_LO_Scrappy_pct,Quick_LO_Lost_pct,Own_Start_Half_Retention_pct,Own_Start_22_Retention_pct,Restarts,Long_Restarts,Short_Restart,Penalties,Tackle_Penalty,Ruck_Penalty,Scrum_Penalty,Lineout_Penalty,Offside_Penalty,Maul_Penalty,Foul_Play_Penalty,Other_Penalty,Free_Kicks,Scrum_Free_Kick,Lineout_Free_Kick
Austin Elite Rugby,4,12,Scott Green,,0,0.498,0.4328,17.9,0:31:26,0.41,0.197,0.393,0.929,2,13,84,511,3,2,5,6,0.537,0.179,0.284,0.866,136,21,157,23,7,9,3,12,783,0.95,1,0.56,0.35,0.1,16,0.56,0.39,0.06,454,3-Jan,0.92,0.33,18,0.87,0,0.83,15,6,4,2,0.2,0.07,0.13,1,1,0,0.07,0,0,7,7,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.07,0,0,0.4,0,6,2,4,11,3,0,2,0,1,1,3,0,1,1,0
Glendale Raptors,4,12,Scott Green,,1,0.502,0.5672,18,0:31:26,0.537,0.179,0.284,0.919,4,24,103,783,9,4,3,12,0.41,0.197,0.393,0.909,149,15,164,41,8,3,5,6,511,0.99,2,0.65,0.25,0.09,15,0.46,0.54,0,508,5-Feb,1,0.67,18,0.83,0,0.8,12,4,3,1,0.25,0,0.08,3,3,0,0.25,0,0,5,4,1,0.33,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,4,4,0,17,5,2,7,0,0,2,1,0,0,0,0
San Diego Legion,4,13,Luke Rogan,,1,0.4957,0.5374,16.6,0:31:28,0.567,0.239,0.194,0.884,2,21,94,631,5,2,9,7,0.448,0.179,0.373,0.921,151,13,164,44,7,2,5,3,644,0.99,2,0.67,0.26,0.07,22,0.46,0.54,0,643,5-Apr,1,0.8,17,0.82,0,0.94,11,0,0,0,0,0,0,6,4,2,0.36,0,0.18,5,5,0,0.36,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,3,1,2,11,4,1,3,0,0,1,2,0,1,1,0
Utah Warriors,4,13,Luke Rogan,,0,0.5043,0.4626,16.9,0:31:28,0.448,0.179,0.373,0.901,1,10,92,644,2,1,5,3,0.567,0.239,0.194,0.856,149,25,174,43,9,5,9,7,631,0.94,0,0.64,0.33,0.03,11,0.36,0.5,0.14,350,2-Feb,0.71,0.14,17,0.94,1,0.73,17,0,0,0,0,0,0,10,9,1,0.53,0,0.06,6,6,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.06,0,0,0,N/A,6,3,3,8,3,0,3,0,1,1,0,0,1,1,0
Seattle Seawolves,4,14,Ben Crouse,,1,0.5912,0.7028,25.3,0:35:55,0.571,0.133,0.295,0.931,4,35,142,923,2,0,9,8,0.583,0.153,0.264,0.887,157,20,177,25,15,2,4,10,526,0.99,1,0.7,0.26,0.04,15,0.62,0.31,0.08,376,8-Jun,1,0.88,16,0.89,0,0.8,9,2,2,0,0.22,0,0,5,4,1,0.44,0,0.11,2,2,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,7,7,0,9,1,1,2,1,3,1,0,0,1,1,0
Toronto Arrows,4,14,Ben Crouse,,0,0.4088,0.2972,17.5,0:35:55,0.583,0.153,0.264,0.888,3,30,102,526,2,1,4,10,0.571,0.133,0.295,0.879,218,30,248,40,13,2,9,8,923,0.99,1,0.61,0.27,0.12,21,0.56,0.44,0,478,6-Jun,1,0.63,16,1,1,0.89,5,0,0,0,0,0,0,2,2,0,0.4,0,0,3,3,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,12,2,0,1,0,7,1,1,0,0,0,0
Austin Elite Rugby,5,15,Moe Chaudhry,,0,0.3959,0.2929,14.2,0:31:45,0.49,0.143,0.367,0.874,2,17,81,599,4,1,7,4,0.588,0.186,0.227,0.863,208,33,241,42,18,5,13,9,814,0.96,2,0.68,0.26,0.06,7,0.59,0.18,0.24,230,3-Mar,0.75,0.75,17,0.77,2,0.85,13,6,4,2,0.23,0.08,0.15,3,3,0,0.23,0,0,2,2,0,0.15,0,0,2,1,1,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,9,1,7,14,3,2,4,0,3,0,1,0,0,0,0
San Diego Legion,5,15,Moe Chaudhry,,1,0.6041,0.7071,21.7,0:31:45,0.588,0.186,0.227,0.897,6,45,130,814,5,1,13,9,0.49,0.143,0.367,0.828,111,23,134,19,8,4,7,4,599,0.97,1,0.64,0.22,0.14,13,0.17,0.67,0.17,390,8-Jul,0.85,0.77,17,0.85,0,0.69,13,4,4,0,0.31,0,0,5,4,1,0.31,0,0.08,4,3,1,0.23,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,N/A,4,2,2,11,5,3,0,0,1,0,2,0,2,2,0
Houston SaberCats,5,16,Paul-Henri Courbier,,0,0.4642,0.5177,13.4,0:27:20,0.322,0.203,0.475,0.857,4,27,75,466,3,1,2,8,0.569,0.123,0.308,0.934,141,10,151,31,16,3,2,6,605,0.97,2,0.65,0.23,0.12,17,0.21,0.64,0.14,468,6-Mar,0.75,0.5,10,0.82,0,0.86,17,13,10,3,0.59,0,0.18,0,0,0,0,0,0,4,4,0,0.18,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,N/A,8,7,1,8,1,1,1,0,2,2,1,0,1,1,0
Toronto Arrows,5,16,Paul-Henri Courbier,,1,0.5358,0.4823,15.5,0:27:20,0.569,0.123,0.308,0.866,5,44,84,605,3,1,2,6,0.322,0.203,0.475,0.914,117,11,128,27,10,3,2,8,466,0.96,1,0.68,0.26,0.06,21,0.53,0.41,0.06,621,8-Aug,0.67,0.5,10,0.86,3,0.76,14,1,1,0,0.07,0,0,6,4,2,0.29,0,0.14,6,6,0,0.43,0,0,1,1,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,12,3,0,3,0,3,2,1,0,0,0,0
